Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
Cambridgeshire County Council	Sodastream Worldwide Trading Company	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Sodexo Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Sojourn Hotels (York) LLP	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Neath Port Talbot County Borough Council	Solar Plants Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Solution EU Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sedgemoor District Council	Somerset Larder Co	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	S.O.P. International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Southern Health Foundation Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Speakeasy Ice Creams Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Spearmark	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Specialist Cheesemakers Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Spectrum Brands (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Spicerhaart Estate Agents Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Spicers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Spire Healthcare Limitied	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
East Hampshire District Council	Spire Healthcare Limitied	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Sports and Leisure Management Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Spudulike	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Norfolk County Council	Stan Chem International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Stannah Lift Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Status International (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	St Austell Brewery Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Steinhoff UK Retail Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Stephen J Rolls / ta image 1 creative	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Stonegate Pub Co	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Strata Products Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Stute Foods Limitsd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Subway	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Superdrug	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Swale Heating Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Swan Housing Association Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	SW Living Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Devon Council	Symbro	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Symington's Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire Fire & Rescue Service	Sytner Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Tapi Carpets and Floors ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	TASTE TRENDS LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	TASTE TRENDS LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Tayto Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reigate and Banstead Borough Council	TC Facilities Management Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Team Sport Indoor Karting	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire Fire & Rescue Service	Telefonica	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Telefonica	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	Tesco Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Tesco Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Tesco Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Thaymar Ice Cream	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	THE A2 MILK COMPANY LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	THE A2 MILK COMPANY LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	The Abbeyfield Society	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	THE ACTIVITY SUPERSTORE LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	The Alternative Parcels Company Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	The Bannatyne Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	The Bannatyne Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	The British and Irish Spa and Hot Tub Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	The British Constructional Steelwork Association Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northampton Borough Council	The British Pepper & Spice Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	The British Pepper & Spice Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	The British Red Cross	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	The Caravan Club Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	The Caravan Club Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	The Carphone Warehouse Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	The Childcare Corporation plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Manchester City Council	The Co-operative Bank	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	The Co-operative Bank	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	The Deltic Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	The Dezac Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	The Earth Works Cosmetics (TEW)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	The English Heritage Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	The English Heritage Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	The Enterprise Department Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Kesteven District Council	The Farm Kitchen Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	THE FINE CONFECTIONERY CO LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Coventry City Council	The Forklift Company Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Havering	The Giggly Pig Company	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	The Good Food Chain Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	The Guinness Partnership Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	The Gym Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	The Health Store	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	The Hire Supply Co. (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	The Home Insulation & Energy Systems Quality Assured Contractors Scheme	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	The Huntercombe Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	The Knowledge Academy Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rhondda Cynon Taf County Borough Council	The London Mint Office Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	THE MANNING IMPEX GROUP LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey Heath Borough Council	THE MANNING IMPEX GROUP LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwickshire County Council	The Midcounties Co-operative Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	The National Bed Federation Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Swindon Borough Council	The National Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Knowsley Metropolitan Borough Council	Thenhotels Property LLP	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	The Orders of St John Care Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	The People’s Dispensary for Sick Animals	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwickshire County Council	The Property Ombudsman Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	The Rank Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	The Replace Base	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Buckinghamshire Fire & Rescue Service	The Restaurant Group PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	The Restaurant Group PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	The Riverside Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Chelmsford City Council	The Salvation Army	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex Fire & Rescue Service	The Salvation Army	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	The Scotts Company (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Pembrokeshire County Council	The Seren Collection Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Portsmouth City Council	The Southern Co-operative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	The Southern Co-operative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	The Star Inn the City (York) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	The Swimming Pool and Allied Trades Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	The Video Standards Council	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	The Video Standards Council	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Thimbleby & Shorland	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Thomas Cook	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Thomas the Baker	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Thorntons Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Thurlow Nunn (JV) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Thursdays UK t/a FridaysUK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Tiger Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Tim Hortons UK & Ireland Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Timpson Group PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Watford Borough Council	TK Maxx	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	TK Maxx	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Norfolk County Council	Tobar Group Trading Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Together Housing Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Toiletry Sales Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Tokyo Fabric Int Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire Fire & Rescue Service	Torus62 Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Toshiba Information Systems (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Touch of ginger	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
St Helens Metropolitan Borough Council	Trader Publishing Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Transport For London	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire Fire & Rescue Service	Travelodge Hotels Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Oxfordshire District Council	Travelodge Hotels Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Travis Perkins Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Travis Perkins Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northampton Borough Council	Travis Perkins Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Traybakes Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Trends UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Triangle Wholefoods Collective Limited (Suma Foods)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Tropical Marine Centre Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Merton	trueCall Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Truly Travel Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Trustmark (2005) Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	TrustMark (2005) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Merton	Trustpilot	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	TSB Bank PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	TSB Bank PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Tubzee Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Tulip Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Turners of Bond Street Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Turtle Bay Restaurants Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	UCC Coffee Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	UK Electronic Cigarette Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	UK Mail Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	UK Pool Store Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dorset County Council	UK Postbox Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Ultra Furniture Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Unbeelievable Health Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Uncle Henry's Farm Shop	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Unil C9	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	United Response	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Avon Fire & Rescue Service	Unite Integrated Solutions Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Universal Suppliers Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Berkshire Fire & Rescue Service	University Partnerships Programme Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushmoor Borough Council	Univilla Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	UP Global Sourcing UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire West and Chester Council	Vale Royal Fresh Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Vbites Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Vero Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Ipswich Borough Council	Vertas Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Victoria's Secret UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Vindis Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Virgin Active	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Virgin Active	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Newcastle upon Tyne City Council	Virgin Money PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Viridor Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Vivid Toy Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Volac International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	VUE	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	VUE	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Vydex Corporation Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Wagamama Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Wahl (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Waitrose Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Waitrose Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	Waitrose Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire Fire & Rescue Service	Walkers Snack Foods Ltd (Pepsico International)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Stockport Metropolitan Borough Council	Warren James (Jewellers) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Warrens Bakery Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwick District Council	Warwickshire County Caterers	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Wasabi Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Watergate Bay Hotel Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire Fire & Rescue Service	Waterloo Housing Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Watling Tyre Service Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Yorkshire Fire & Rescue Service	W. Boyes and Co Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	W. Boyes and Co Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Scarborough Borough Council	W. Boyes and Co Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	WD-40 Company Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Weatherbys GSB Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Portsmouth City Council	Webloyalty International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	We Buy Any Car	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	We Can Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Weddel Swift Distribution Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	W E Griffiths & Sons	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Buckinghamshire Fire & Rescue Service	Welcome Break Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Welcome Break Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Welovemanfood Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Werner UK Operations Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	West Coast Trains Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Exeter City Council	West Country Family Butchers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	West Country Family Butchers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Westland Horticulture Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	What Next Candy Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Whitakers	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Whitbread Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Whitehouse Leisure International Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Whittard Trading Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Whitworths	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	W H Marriage and Sons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Swindon Borough Council	WH Smith	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Widdop Bingham & Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Portsmouth City Council	Wiggle	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Wilko	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Midlands Fire & Rescue Service	Wilko	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Wilko Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	William Hill	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	William Hill Organization Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	William Strike Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Wilton Bradley Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Wind Designs Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Winterbotham, Darby & Co. Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Winterbotham, Darby & Co. Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Wm Morrison Supermarkets PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Wm Morrison Supermarkets PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Wm Morrison Supermarkets PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Wm Morrison Supermarkets PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Woolbro (Distribution) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Woolovers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Worldwide Brands Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	W P Brown Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wigan Metropolitan Borough Council	Wrightington, Wigan and Leigh NHS Foundation Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Wright's Pies (Shelton) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	W Wing Yip Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Wyevale Garden Centres Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Wyevale Garden Centres Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Wyldecrest Parks (Management) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Yamaha Music Europe GmbH (UK)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Yorkshire Building Society Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kirklees Council	Yorkshire Building Society Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Yorkshire Housing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	YO! Sushi	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Yoti Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Young Living (Europe) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
