Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
North Yorkshire County Council	Black Cat Fireworks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Blackfriars Bakery	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Black Hex Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Blanc Brasseries Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Blue Diamond	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Blue Skies Holdings Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	BMI Healthcare Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Bodybuilding.com (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Bon Marche Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Booker Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	BOOMBOD LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire Fire & Rescue Service	Boots	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushcliffe Borough Council	Boots	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Boots	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire County Council	Bosch Thermotechnology Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Bounce Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Scarborough Borough Council	Bourne Leisure Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Scarborough Borough Council	Bourne Leisure Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Bourne Leisure Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon & Somerset Fire & Rescue Service	Bourne Leisure Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Boux Avenue Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	BP Oil UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	B&Q Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	B&Q Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	B&Q Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Bracken Hill Fine Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Brakes Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Brakes Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Brandbank Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Brandbank Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Bravura Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Breckland Orchard Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Brent Cars Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Bright Star Fireworks	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Brioche Pasquier UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushmoor Borough Council	British Army	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	British Association of Removers	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	British Beer & Pub Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	British Blind and Shutter Association Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	British Frozen Food Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	British Frozen Food Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Cambridgeshire District Council	British Frozen Food Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	British Frozen Food Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	British Gas	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire Fire & Rescue Service	British Gas	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	British Heart Foundation	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	British Hospitality Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	British Safety Industry Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	British Sandwich Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	British Sandwich Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	British Soft Drinks Association Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	British Sugar	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	British Toy and Hobby Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Chelmsford City Council	Britvic Soft Drinks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire Fire & Rescue Service	Bromford Housing Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Brunel Healthcare Manufacturing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	BSH Home	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	BSMW Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
